title,link,company,location
Слесарь - ремонтник,https://adsrv.hh.ru/click?b=396118&c=45&meta=0ZFbbKMi4zy3eNLiDphVa99PUta8b9qaSPA_u9JUZv7jfdD1pev80f6_bPfK2zzssBj9lNtL1WYVdvevKyLAFYUWrkLYL4PBnEdEn9-0L41DRnJ2UfZwaiWiFg4sEeK48Y_EFB8rtKjOFiPbHLqeEI1kN7oqz4cwFJN2YJTnbgOTt2PCESbYm7aQD9aO_ICW6oaLK3LsfilDxLrTnbEvUA%3D%3D&place=35&clickType=link_to_vacancy,ООО Замок-Сервис,Москва
Слесарь,https://adsrv.hh.ru/click?b=398027&c=30&meta=xoFyGeUh_rU2to-is_Aw6Jr76OP2pOasPpg2GuyBXHly_DVPvlm1g2GEbaVGrudkqW19Itv1Gc4J8gVfPggqI5uR7dgoXT7D4lgzl4B9wdqdZWWUlnPCtR4oFLu3FGjGiut9KqimR69n6Dz-qRtfdmWZDAIVjzO8yj4wv9sBijIJto-qEo5NK-9s8tpabwEq13kCvUpsWZEH3wCvgAHqAg%3D%3D&place=36&clickType=link_to_vacancy,Кременкульский редукторный завод ЕвроПривод,Челябинск
Разнорабочий-слесарь,https://aktau.hh.kz/vacancy/80160811?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ВотерПайп,"Санкт-Петербург, Новочеркасская"
Слесарь-гидравлик,https://aktau.hh.kz/vacancy/79768276?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РЕМЭКС,Уфа
Слесарь-механик,https://aktau.hh.kz/vacancy/79995998?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО РОСТВЕРК,Ставрополь
Слесарь МСР,https://aktau.hh.kz/vacancy/79371225?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Гефлис,Гомель
Слесарь,https://aktau.hh.kz/vacancy/78712983?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Гефест,Санкт-Петербург
Слесарь,https://aktau.hh.kz/vacancy/79991408?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Челябинский кузнечно-прессовый завод (ЧКПЗ),Челябинск
Слесарь,https://aktau.hh.kz/vacancy/79835780?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Приокский машиностроительный завод,Нижний Новгород
Слесарь по обслуживанию и ремонту оборудования,https://aktau.hh.kz/vacancy/80173070?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Центральные газовые сети,Челябинск
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79682699?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО НПП Спецавиа,Москва
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80160605?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Завод Нефтегазоборудование,Воронеж
Слесарь (механик) по ремонту и обслуживанию карьерной техники,https://aktau.hh.kz/vacancy/79700795?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Сервис Горного Оборудования,Архангельск
Слесарь,https://aktau.hh.kz/vacancy/79991409?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Челябинский кузнечно-прессовый завод (ЧКПЗ),Копейск
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79367967?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ДВС Ресурс,Санкт-Петербург
Слесарь-инструментальщик,https://aktau.hh.kz/vacancy/79987160?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Нева-Феррит,Санкт-Петербург
Слесарь-сборщик БПЛА,https://aktau.hh.kz/vacancy/79104611?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Ирбис Скай Тех,Москва
Слесарь,https://aktau.hh.kz/vacancy/79887875?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,НПК Морсвязьавтоматика,"Санкт-Петербург, Рыбацкое"
Слесарь МСР,https://aktau.hh.kz/vacancy/80152282?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ГК МРК,Санкт-Петербург
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79732393?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Эскеро,Тверь
Слесарь,https://aktau.hh.kz/vacancy/79793304?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Мобаил-Тент,Калуга
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80159918?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Филиал АО Корпорация Комета - НПЦ ОЭКН,Санкт-Петербург
